Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,747991,-,-,-,32.45,-94.74,-6,88,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2012,1,1,0,30,11.200000000000001,0,0,0,0,11.200000000000001,0,0,0,0,100,170.43,0.12,1010,1.4000000000000001,314,1.9000000000000001,0.0000,0.0000
2012,1,1,1,30,9.9,0,0,0,0,9.9,0,0,0,0,100,162.33,0.12,1011,1.1,335,2.3000000000000003,0.0000,0.0000
2012,1,1,2,30,8.3,0,0,0,0,7.4,0,0,0,0,93.79,150.33,0.12,1013,0.9,338,2.4000000000000004,0.0000,0.0000
2012,1,1,3,30,6.9,0,0,0,0,5.4,0,0,0,0,89.9,137.74,0.12,1014,0.8,335,2.1,0.0000,0.0000
2012,1,1,4,30,5.9,0,0,0,0,4.1000000000000005,0,0,0,0,88.42,125.12,0.12,1015,0.7000000000000001,331,1.9000000000000001,0.0000,0.0000
2012,1,1,5,30,5,0,0,0,0,3.3000000000000003,0,0,0,0,89.03,112.67,0.12,1017,0.6000000000000001,329,1.7000000000000002,0.0000,0.0000
2012,1,1,6,30,4.4,0,0,0,0,2.7,0,0,0,0,88.98,100.59,0.12,1018,0.5,329,1.6,0.0000,0.0000
2012,1,1,7,30,5.2,11,288,18,0,2.4000000000000004,11,288,0,18,82.06,88.69,0.12,1020,0.5,329,1.8,0.0000,0.0000
2012,1,1,8,30,7.300000000000001,37,734,186,0,2.8000000000000003,37,734,0,186,72.94,78.33,0.12,1021,0.5,336,2.2,8.8884,6.7894
2012,1,1,9,30,9.5,49,888,367,0,2.6,49,888,0,367,61.96,69.01,0.12,1021,0.5,349,2.5,18.9530,14.6945
2012,1,1,10,30,11.3,55,957,511,0,2.2,55,957,0,511,53.7,61.58,0.12,1021,0.5,355,2.6,27.9022,21.7721
2012,1,1,11,30,12.5,57,990,599,0,2.3000000000000003,57,990,0,599,49.94,56.83,0.12,1021,0.5,351,2.5,33.5986,26.2833
2012,1,1,12,30,13.200000000000001,58,991,619,0,2.4000000000000004,58,991,0,619,48.01,55.46,0.12,1020,0.6000000000000001,346,2.6,34.9536,27.3592
2012,1,1,13,30,13.4,56,977,578,0,2.4000000000000004,56,977,0,578,47.2,57.730000000000004,0.12,1020,0.6000000000000001,343,2.6,32.2706,25.2340
2012,1,1,14,30,13.100000000000001,53,938,475,0,2.4000000000000004,53,938,0,475,48.27,63.230000000000004,0.12,1020,0.6000000000000001,342,2.5,25.6568,19.9978
2012,1,1,15,30,11.8,48,850,321,0,2.8000000000000003,48,850,0,321,53.95,71.21000000000001,0.12,1021,0.6000000000000001,341,2,16.2535,12.5665
2012,1,1,16,30,9.200000000000001,33,656,137,0,4.1000000000000005,33,656,0,137,70.35000000000001,80.89,0.12,1021,0.6000000000000001,340,1.5,0.0000,0.0000
2012,1,1,17,30,7.5,0,0,0,0,3.9000000000000004,0,0,0,0,77.94,91.9,0.12,1022,0.6000000000000001,339,1.3,0.0000,0.0000
2012,1,1,18,30,6.300000000000001,0,0,0,0,3.3000000000000003,0,0,0,0,81.11,103.58,0.12,1022,0.6000000000000001,339,1.4000000000000001,0.0000,0.0000
2012,1,1,19,30,5.6000000000000005,0,0,0,0,3,0,0,0,0,83.18,115.78,0.12,1023,0.6000000000000001,340,1.4000000000000001,0.0000,0.0000
2012,1,1,20,30,5,0,0,0,0,2.6,0,0,0,0,84.27,128.28,0.12,1023,0.6000000000000001,342,1.4000000000000001,0.0000,0.0000
2012,1,1,21,30,4.3,0,0,0,0,2.2,0,0,0,0,86.02,140.92000000000002,0.12,1024,0.6000000000000001,344,1.4000000000000001,0.0000,0.0000
2012,1,1,22,30,3.6,0,0,0,0,1.8,0,0,0,0,87.79,153.44,0.12,1024,0.7000000000000001,345,1.4000000000000001,0.0000,0.0000
2012,1,1,23,30,3,0,0,0,0,1.3,0,0,0,0,88.9,165,0.12,1024,0.7000000000000001,345,1.4000000000000001,0.0000,0.0000
2012,1,2,0,30,2.4000000000000004,0,0,0,0,0.9,0,0,0,0,89.83,170.37,0.12,1024,0.7000000000000001,344,1.4000000000000001,0.0000,0.0000
2012,1,2,1,30,1.9000000000000001,0,0,0,0,0.4,0,0,0,0,90.10000000000001,162.36,0.12,1024,0.7000000000000001,343,1.4000000000000001,0.0000,0.0000
2012,1,2,2,30,1.3,0,0,0,0,0,0,0,0,0,91.24,150.39000000000001,0.12,1025,0.7000000000000001,344,1.4000000000000001,0.0000,0.0000
2012,1,2,3,30,0.8,0,0,0,0,-0.4,0,0,0,0,91.8,137.81,0.12,1025,0.6000000000000001,345,1.4000000000000001,0.0000,0.0000
2012,1,2,4,30,0.4,0,0,0,0,-0.8,0,0,0,0,91.96000000000001,125.18,0.12,1025,0.6000000000000001,347,1.4000000000000001,0.0000,0.0000
2012,1,2,5,30,0.1,0,0,0,0,-1.1,0,0,0,0,91.45,112.73,0.12,1026,0.6000000000000001,348,1.3,0.0000,0.0000
2012,1,2,6,30,-0.1,0,0,0,0,-1.5,0,0,0,0,90.26,100.64,0.12,1027,0.6000000000000001,350,1.3,0.0000,0.0000
2012,1,2,7,30,1.3,12,240,17,0,-1.7000000000000002,12,240,0,17,80.52,88.72,0.12,1027,0.6000000000000001,351,1.7000000000000002,0.0000,0.0000
2012,1,2,8,30,3.9000000000000004,41,702,183,0,-1.2000000000000002,41,702,0,183,69.14,78.35000000000001,0.12,1028,0.6000000000000001,354,2.2,8.7444,6.6792
2012,1,2,9,30,6.1000000000000005,54,873,367,0,-2.4000000000000004,54,873,0,367,54.61,69.01,0.12,1029,0.5,358,2.7,18.9530,14.6945
2012,1,2,10,30,7.5,61,955,516,0,-4.7,61,955,0,516,41.71,61.550000000000004,0.12,1029,0.4,353,2.8000000000000003,28.1806,21.9897
2012,1,2,11,30,8.4,65,987,606,0,-5.300000000000001,65,987,0,606,37.44,56.77,0.12,1027,0.4,345,2.7,34.0015,26.5992
2012,1,2,12,30,9.1,66,996,632,0,-5.2,66,996,0,632,35.9,55.370000000000005,0.12,1026,0.4,338,2.6,35.7029,27.9467
2012,1,2,13,30,9.4,65,981,591,0,-4.7,65,981,0,591,36.51,57.61,0.12,1026,0.4,335,2.6,33.0172,25.8192
