Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,747991,-,-,-,32.45,-94.74,-6,88,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2013,1,1,0,30,7.5,0,0,0,7,7.5,0,0,0,0,99.85000000000001,170.39000000000001,0.12,1007,3.1,180,1.7000000000000002,0.0000,0.0000
2013,1,1,1,30,7.1000000000000005,0,0,0,7,7,0,0,0,0,99.49000000000001,162.35,0.12,1007,3.1,181,1.8,0.0000,0.0000
2013,1,1,2,30,6.9,0,0,0,7,6.6000000000000005,0,0,0,0,98.2,150.38,0.12,1007,3.1,7,1.7000000000000002,0.0000,0.0000
2013,1,1,3,30,6.7,0,0,0,7,6.4,0,0,0,0,97.8,137.79,0.12,1007,3,13,1.5,0.0000,0.0000
2013,1,1,4,30,6.5,0,0,0,8,6.2,0,0,0,0,98.12,125.17,0.12,1007,2.9000000000000004,12,1.2000000000000002,0.0000,0.0000
2013,1,1,5,30,6.4,0,0,0,6,6.1000000000000005,0,0,0,0,98.09,112.72,0.12,1008,2.8000000000000003,175,1,0.0000,0.0000
2013,1,1,6,30,6.2,0,0,0,6,6,0,0,0,0,98.48,100.63,0.12,1008,2.7,339,1.2000000000000002,0.0000,0.0000
2013,1,1,7,30,6.2,12,72,14,6,5.800000000000001,2,0,7,2,97.60000000000001,88.72,0.12,1009,2.6,336,1.6,0.0000,0.0000
2013,1,1,8,30,6.5,57,507,159,7,5.9,10,0,0,10,95.84,78.35000000000001,0.12,1010,2.5,338,1.7000000000000002,0.4778,0.3650
2013,1,1,9,30,6.9,80,693,329,7,6.1000000000000005,35,0,0,35,94.35000000000001,69.01,0.12,1010,2.3000000000000003,340,1.9000000000000001,1.8075,1.4014
