Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,747991,-,-,-,32.45,-94.74,-6,88,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2010,1,1,0,30,2,0,0,0,4,2,0,0,0,0,100,170.41,0.11,1017,1.1,341,1.8,0.0000,0.0000
2010,1,1,1,30,1.2000000000000002,0,0,0,4,1.2000000000000002,0,0,0,0,100,162.35,0.11,1018,0.9,338,1.7000000000000002,0.0000,0.0000
2010,1,1,2,30,0.4,0,0,0,1,0.4,0,0,0,0,100,150.36,0.11,1019,0.7000000000000001,337,1.7000000000000002,0.0000,0.0000
2010,1,1,3,30,-0.5,0,0,0,0,-0.5,0,0,0,0,100,137.78,0.11,1019,0.6000000000000001,339,1.6,0.0000,0.0000
2010,1,1,4,30,-1.2000000000000002,0,0,0,0,-1.2000000000000002,0,0,0,0,99.64,125.15,0.11,1020,0.5,342,1.4000000000000001,0.0000,0.0000
2010,1,1,5,30,-1.7000000000000002,0,0,0,0,-1.9000000000000001,0,0,0,0,98.53,112.7,0.11,1020,0.5,348,1.4000000000000001,0.0000,0.0000
2010,1,1,6,30,-2.1,0,0,0,0,-2.5,0,0,0,0,97.41,100.61,0.11,1020,0.5,354,1.2000000000000002,0.0000,0.0000
2010,1,1,7,30,-1.4000000000000001,12,237,18,0,-2.8000000000000003,12,237,0,18,90.51,88.7,0.11,1021,0.5,178,1.2000000000000002,0.0000,0.0000
2010,1,1,8,30,0.5,43,709,186,0,-2.1,43,709,0,186,82.7,78.34,0.11,1021,0.5,10,1.2000000000000002,8.8881,6.7891
2010,1,1,9,30,2.8000000000000003,55,873,368,0,-1.2000000000000002,55,873,0,368,75.13,69.01,0.11,1022,0.5,20,1,19.0046,14.7346
2010,1,1,10,30,5.1000000000000005,61,940,508,0,-0.6000000000000001,61,940,0,508,66.49,61.57,0.11,1021,0.6000000000000001,25,0.9,27.7401,21.6458
2010,1,1,11,30,7.300000000000001,63,975,597,0,-0.6000000000000001,63,975,0,597,57.28,56.800000000000004,0.11,1021,0.6000000000000001,25,0.9,33.4915,26.1998
2010,1,1,12,30,8.9,62,986,622,0,-1.1,62,986,0,622,49.54,55.42,0.11,1020,0.6000000000000001,19,1,35.1297,27.4975
2010,1,1,13,30,9.3,62,971,581,0,-1,62,971,0,581,48.45,57.67,0.11,1019,0.6000000000000001,16,1.1,32.4483,25.3737
2010,1,1,14,30,9.1,58,922,475,0,-0.8,58,922,0,475,50.01,63.17,0.11,1019,0.7000000000000001,19,1,25.6673,20.0068
2010,1,1,15,30,8,50,836,321,0,-0.30000000000000004,50,836,0,321,55.75,71.15,0.11,1018,0.7000000000000001,27,0.8,16.2625,12.5745
2010,1,1,16,30,6,35,643,137,0,2.8000000000000003,35,643,0,137,80.2,80.83,0.11,1018,0.7000000000000001,39,0.8,0.0000,0.0000
2010,1,1,17,30,4.800000000000001,0,0,0,0,0,0,0,0,0,70.98,91.84,0.11,1018,0.7000000000000001,45,0.9,0.0000,0.0000
2010,1,1,18,30,4.3,0,0,0,0,-1,0,0,0,0,68.54,103.52,0.12,1019,0.7000000000000001,59,0.9,0.0000,0.0000
2010,1,1,19,30,4.4,0,0,0,0,-1.6,0,0,0,0,65.12,115.72,0.12,1019,0.8,64,0.7000000000000001,0.0000,0.0000
2010,1,1,20,30,4.4,0,0,0,0,-2.1,0,0,0,0,62.800000000000004,128.22,0.12,1019,0.8,64,0.5,0.0000,0.0000
2010,1,1,21,30,4.1000000000000005,0,0,0,0,-2.4000000000000004,0,0,0,0,62.67,140.86,0.12,1019,0.8,51,0.4,0.0000,0.0000
2010,1,1,22,30,3.6,0,0,0,0,-2.5,0,0,0,0,64.15,153.37,0.12,1019,0.8,32,0.4,0.0000,0.0000
2010,1,1,23,30,3,0,0,0,0,-2.7,0,0,0,0,66.3,164.94,0.12,1019,0.8,19,0.5,0.0000,0.0000
2010,1,2,0,30,2.5,0,0,0,0,-2.8000000000000003,0,0,0,0,68.14,170.34,0.12,1018,0.8,13,0.6000000000000001,0.0000,0.0000
2010,1,2,1,30,2,0,0,0,0,-2.8000000000000003,0,0,0,0,70.29,162.38,0.12,1019,0.8,184,0.6000000000000001,0.0000,0.0000
2010,1,2,2,30,1.4000000000000001,0,0,0,0,-2.9000000000000004,0,0,0,0,73.32000000000001,150.42000000000002,0.12,1019,0.8,356,0.7000000000000001,0.0000,0.0000
2010,1,2,3,30,0.4,0,0,0,0,-2.9000000000000004,0,0,0,0,78.74,137.84,0.12,1018,0.9,179,0.9,0.0000,0.0000
2010,1,2,4,30,-0.9,0,0,0,0,-2.9000000000000004,0,0,0,0,86.5,125.21000000000001,0.12,1018,0.9,10,1,0.0000,0.0000
2010,1,2,5,30,-1.8,0,0,0,0,-2.8000000000000003,0,0,0,0,92.84,112.76,0.12,1018,0.9,21,0.9,0.0000,0.0000
2010,1,2,6,30,-1.8,0,0,0,0,-2.6,0,0,0,0,94,100.66,0.12,1018,0.9,32,0.8,0.0000,0.0000
2010,1,2,7,30,-0.2,12,221,17,0,-2.3000000000000003,12,221,0,17,85.47,88.73,0.12,1019,1,45,1,0.0000,0.0000
2010,1,2,8,30,2.5,43,671,178,0,-1.1,43,671,0,178,77.41,78.36,0.12,1019,1,58,1.1,8.5051,6.4963
2010,1,2,9,30,5.300000000000001,58,835,358,0,-0.1,58,835,0,358,68.14,69.01,0.12,1019,0.9,75,1,18.4882,14.3342
2010,1,2,10,30,7.800000000000001,67,909,500,0,0.5,67,909,0,500,59.81,61.54,0.12,1018,0.9,91,1.1,27.3085,21.3094
2010,1,2,11,30,9.3,72,942,588,0,0.7000000000000001,72,942,0,588,55.04,56.74,0.12,1017,0.9,95,1,32.9965,25.8133
2010,1,2,12,30,10,72,954,614,0,0.9,72,954,0,614,53.300000000000004,55.33,0.12,1016,0.9,92,0.9,34.6926,27.1563
2010,1,2,13,30,10.200000000000001,71,937,574,0,1.1,71,937,0,574,53.34,57.56,0.12,1016,0.9,94,0.9,32.0758,25.0837
2010,1,2,14,30,9.9,68,890,471,0,1.3,68,890,0,471,55.11,63.04,0.12,1015,0.9,98,0.9,25.4736,19.8577
2010,1,2,15,30,8.6,58,801,318,0,1.8,58,801,0,318,62.160000000000004,71.01,0.12,1015,0.9,99,0.8,16.1312,12.4754
2010,1,2,16,30,5.9,39,600,136,0,4.4,39,600,0,136,90.03,80.69,0.12,1015,0.9,98,0.7000000000000001,0.0000,0.0000
2010,1,2,17,30,4.1000000000000005,0,0,0,0,2.3000000000000003,0,0,0,0,88.14,91.7,0.12,1015,0.9,97,0.8,0.0000,0.0000
2010,1,2,18,30,2.9000000000000004,0,0,0,0,1.8,0,0,0,0,92.3,103.38,0.12,1015,1,103,1,0.0000,0.0000
2010,1,2,19,30,2.2,0,0,0,0,1.5,0,0,0,0,95.38,115.58,0.12,1015,1,105,1,0.0000,0.0000
2010,1,2,20,30,1.4000000000000001,0,0,0,0,1.3,0,0,0,0,99.51,128.09,0.12,1015,1,108,1,0.0000,0.0000
2010,1,2,21,30,1,0,0,0,0,1,0,0,0,0,100,140.73,0.12,1015,1.1,111,1,0.0000,0.0000
2010,1,2,22,30,0.9,0,0,0,1,0.9,0,0,0,0,100,153.24,0.12,1015,1.2000000000000002,112,1,0.0000,0.0000
2010,1,2,23,30,0.5,0,0,0,4,0.5,0,0,0,0,100,164.8,0.12,1015,1.2000000000000002,111,1,0.0000,0.0000
2010,1,3,0,30,0.2,0,0,0,7,0.2,0,0,0,0,100,170.26,0.12,1015,1.1,108,1.1,0.0000,0.0000
2010,1,3,1,30,0.1,0,0,0,1,0.1,0,0,0,0,100,162.41,0.12,1015,1.1,105,1.5,0.0000,0.0000
2010,1,3,2,30,-0.2,0,0,0,0,-0.30000000000000004,0,0,0,0,99.63,150.48,0.12,1015,1.1,104,1.7000000000000002,0.0000,0.0000
2010,1,3,3,30,-0.6000000000000001,0,0,0,0,-0.8,0,0,0,0,98.84,137.9,0.12,1015,1.1,101,1.7000000000000002,0.0000,0.0000
2010,1,3,4,30,-1.1,0,0,0,0,-1.2000000000000002,0,0,0,0,98.92,125.27,0.12,1015,1.1,97,1.7000000000000002,0.0000,0.0000
2010,1,3,5,30,-1.6,0,0,0,0,-1.8,0,0,0,0,98.28,112.81,0.12,1015,1.1,97,1.7000000000000002,0.0000,0.0000
2010,1,3,6,30,-2.1,0,0,0,0,-2.4000000000000004,0,0,0,0,97.52,100.7,0.12,1016,1.1,100,1.8,0.0000,0.0000
2010,1,3,7,30,-1.6,12,137,15,1,-3,12,137,0,15,90.2,88.76,0.12,1016,1.1,106,2,0.0000,0.0000
2010,1,3,8,30,0.1,50,607,172,4,-3.4000000000000004,73,19,0,77,77.38,78.38,0.12,1016,1.1,112,2,3.6789,2.8099
2010,1,3,9,30,2.3000000000000003,69,782,349,4,-3.1,150,108,7,189,67.49,69,0.12,1016,1.1,116,1.9000000000000001,9.7614,7.5682
2010,1,3,10,30,4.5,81,859,491,1,-2,81,859,0,491,62.54,61.5,0.12,1016,1.1,115,1.5,26.8237,20.9316
2010,1,3,11,30,6.300000000000001,88,887,576,0,-0.8,88,887,1,576,60.410000000000004,56.67,0.12,1015,1.2000000000000002,107,1.1,32.3345,25.2962
2010,1,3,12,30,7.6000000000000005,91,893,601,4,0.2,257,256,7,403,59.42,55.230000000000004,0.12,1015,1.2000000000000002,76,0.7000000000000001,22.7812,17.8332
2010,1,3,13,30,8.5,93,866,559,4,0.8,229,312,7,398,58.230000000000004,57.43,0.12,1014,1.2000000000000002,205,0.6000000000000001,22.2558,17.4054
2010,1,3,14,30,8.5,90,804,457,4,1.2000000000000002,185,40,0,203,60.25,62.9,0.12,1014,1.2000000000000002,358,0.9,10.9894,8.5675
2010,1,3,15,30,7.5,81,680,303,4,1.6,40,0,0,40,66.26,70.86,0.12,1014,1.2000000000000002,179,0.9,2.0319,1.5717
2010,1,3,16,30,5.300000000000001,55,424,125,4,3.4000000000000004,15,0,0,15,87.85000000000001,80.55,0.12,1014,1.2000000000000002,5,0.9,0.0000,0.0000
2010,1,3,17,30,3.9000000000000004,0,0,0,4,2.6,0,0,0,0,91.01,91.55,0.12,1015,1.2000000000000002,10,0.9,0.0000,0.0000
2010,1,3,18,30,3,0,0,0,4,2,0,0,0,0,93.43,103.24000000000001,0.12,1016,1.2000000000000002,15,1.2000000000000002,0.0000,0.0000
2010,1,3,19,30,2.5,0,0,0,4,1.7000000000000002,0,0,0,0,94.45,115.44,0.12,1016,1.2000000000000002,11,1.3,0.0000,0.0000
2010,1,3,20,30,2,0,0,0,4,1.4000000000000001,0,0,0,0,95.76,127.95,0.12,1017,1.1,183,1.3,0.0000,0.0000
2010,1,3,21,30,1.6,0,0,0,4,1.1,0,0,0,0,96.66,140.59,0.12,1017,1.1,354,1.5,0.0000,0.0000
2010,1,3,22,30,1.2000000000000002,0,0,0,4,0.8,0,0,0,0,97.32000000000001,153.1,0.12,1018,1.1,347,1.7000000000000002,0.0000,0.0000
2010,1,3,23,30,0.7000000000000001,0,0,0,4,0.4,0,0,0,0,97.98,164.65,0.12,1018,1,342,1.9000000000000001,0.0000,0.0000
2010,1,4,0,30,0.1,0,0,0,4,-0.2,0,0,0,0,97.65,170.18,0.12,1018,1,340,2.2,0.0000,0.0000
2010,1,4,1,30,-0.6000000000000001,0,0,0,4,-1.1,0,0,0,0,96.5,162.43,0.12,1018,0.9,338,2.3000000000000003,0.0000,0.0000
