Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,747991,-,-,-,32.45,-94.74,-6,88,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2014,1,1,0,30,-0.2,0,0,0,7,-0.2,0,0,0,0,100,170.4,0.13,1014,0.7000000000000001,168,1,0.0000,0.0000
2014,1,1,1,30,-0.2,0,0,0,7,-0.2,0,0,0,0,100,162.34,0.13,1013,0.7000000000000001,171,1.1,0.0000,0.0000
2014,1,1,2,30,-0.4,0,0,0,7,-0.4,0,0,0,0,100,150.36,0.13,1013,0.8,173,1.3,0.0000,0.0000
2014,1,1,3,30,-0.2,0,0,0,0,-0.2,0,0,0,0,100,137.77,0.13,1012,0.8,175,1.4000000000000001,0.0000,0.0000
2014,1,1,4,30,0.1,0,0,0,0,0.1,0,0,0,0,100,125.15,0.13,1012,0.9,177,1.5,0.0000,0.0000
2014,1,1,5,30,0.1,0,0,0,0,0.1,0,0,0,0,100,112.7,0.13,1012,1,176,1.5,0.0000,0.0000
2014,1,1,6,30,0.2,0,0,0,0,0.1,0,0,0,0,99.42,100.61,0.13,1012,1.1,174,1.5,0.0000,0.0000
2014,1,1,7,30,1.3,12,173,16,0,0.2,12,173,0,16,92.64,88.7,0.13,1012,1.2000000000000002,172,1.6,0.0000,0.0000
2014,1,1,8,30,3.4000000000000004,46,630,174,0,1,46,630,0,174,84.15,78.34,0.13,1011,1.4000000000000001,174,1.9000000000000001,8.3146,6.3511
2014,1,1,9,30,6.4,62,793,346,0,2.3000000000000003,62,793,0,346,75,69.01,0.13,1011,1.6,178,2.2,17.8685,13.8537
2014,1,1,10,30,9.5,70,867,483,0,4.1000000000000005,70,867,0,483,68.91,61.56,0.13,1010,1.8,184,2.5,26.3766,20.5820
2014,1,1,11,30,12.100000000000001,74,901,567,2,5.9,215,408,0,438,65.87,56.79,0.13,1009,1.9000000000000001,189,2.7,24.5729,19.2230
2014,1,1,12,30,14.100000000000001,75,906,590,3,7.6000000000000005,226,29,0,243,64.76,55.410000000000004,0.13,1007,2,194,2.9000000000000004,13.7249,10.7431
2014,1,1,13,30,15.100000000000001,75,883,548,3,9.1,212,29,0,227,67.34,57.67,0.13,1006,2.1,198,3,12.6777,9.9136
2014,1,1,14,30,15.3,72,832,447,3,10.3,177,29,0,190,71.9,63.160000000000004,0.13,1005,2.1,199,2.9000000000000004,10.2676,8.0033
2014,1,1,15,30,14.5,62,734,299,2,11.100000000000001,132,175,7,188,79.89,71.14,0.13,1005,2.1,198,2.6,9.5253,7.3653
2014,1,1,16,30,13.100000000000001,41,525,125,0,11.4,41,525,0,125,89.15,80.83,0.13,1005,2,197,2.2,0.0000,0.0000
2014,1,1,17,30,12.200000000000001,0,0,0,0,11,0,0,0,0,92.18,91.83,0.13,1005,2,197,2.1,0.0000,0.0000
2014,1,1,18,30,10.9,0,0,0,0,10.9,0,0,0,0,99.92,103.52,0.13,1005,1.8,199,2.1,0.0000,0.0000
2014,1,1,19,30,10.200000000000001,0,0,0,0,10.200000000000001,0,0,0,0,100,115.71000000000001,0.13,1006,1.8,205,2.2,0.0000,0.0000
2014,1,1,20,30,9.9,0,0,0,0,9.9,0,0,0,0,100,128.22,0.13,1006,1.9000000000000001,219,2.2,0.0000,0.0000
2014,1,1,21,30,9.5,0,0,0,0,9.5,0,0,0,0,100,140.86,0.13,1006,1.8,246,2.1,0.0000,0.0000
2014,1,1,22,30,8.6,0,0,0,3,8.6,0,0,0,0,100,153.37,0.13,1007,1.7000000000000002,283,2.5,0.0000,0.0000
2014,1,1,23,30,6.6000000000000005,0,0,0,3,6.6000000000000005,0,0,0,0,100,164.93,0.13,1008,1.4000000000000001,310,3.5,0.0000,0.0000
2014,1,2,0,30,3.8000000000000003,0,0,0,0,3.8000000000000003,0,0,0,0,100,170.33,0.13,1010,1.1,320,4,0.0000,0.0000
2014,1,2,1,30,1.1,0,0,0,0,-0.1,0,0,0,0,91.65,162.38,0.13,1011,0.9,324,3.9000000000000004,0.0000,0.0000
2014,1,2,2,30,-0.7000000000000001,0,0,0,0,-3,0,0,0,0,84.28,150.42000000000002,0.13,1012,0.7000000000000001,327,3.8000000000000003,0.0000,0.0000
2014,1,2,3,30,-1.9000000000000001,0,0,0,0,-4.7,0,0,0,0,81.03,137.84,0.13,1013,0.6000000000000001,330,3.8000000000000003,0.0000,0.0000
2014,1,2,4,30,-2.8000000000000003,0,0,0,0,-5.7,0,0,0,0,80.24,125.21000000000001,0.13,1014,0.6000000000000001,333,3.7,0.0000,0.0000
2014,1,2,5,30,-3.5,0,0,0,0,-6.4,0,0,0,0,80.06,112.76,0.13,1015,0.5,335,3.5,0.0000,0.0000
2014,1,2,6,30,-3.9000000000000004,0,0,0,0,-7,0,0,0,0,79.07000000000001,100.66,0.13,1016,0.5,337,3.2,0.0000,0.0000
2014,1,2,7,30,-3.6,12,194,17,0,-7.300000000000001,12,194,0,17,75.5,88.73,0.13,1017,0.5,340,3.1,0.0000,0.0000
2014,1,2,8,30,-2.1,46,697,186,0,-7.2,46,697,0,186,68.2,78.36,0.13,1018,0.4,344,3.2,8.8874,6.7883
2014,1,2,9,30,-0.2,59,871,371,0,-6.6000000000000005,59,871,0,371,62.120000000000005,69.01,0.13,1019,0.4,347,3.2,19.1595,14.8547
2014,1,2,10,30,1.7000000000000002,64,952,518,0,-5.800000000000001,64,952,0,518,57.56,61.53,0.13,1019,0.4,348,3.1,28.2934,22.0780
2014,1,2,11,30,3.3000000000000003,65,990,608,0,-5.1000000000000005,65,990,0,608,54.2,56.730000000000004,0.13,1019,0.4,347,2.9000000000000004,34.1206,26.6928
2014,1,2,12,30,4.5,64,1002,634,0,-4.5,64,1002,0,634,52.02,55.32,0.13,1018,0.4,344,2.8000000000000003,35.8243,28.0423
2014,1,2,13,30,5.2,61,990,593,0,-4.1000000000000005,61,990,0,593,51.14,57.550000000000004,0.13,1018,0.4,339,2.6,33.1393,25.9155
2014,1,2,14,30,5.2,56,943,484,0,-3.8000000000000003,56,943,0,484,52.4,63.03,0.13,1018,0.5,335,2.5,26.1784,20.4073
2014,1,2,15,30,4.5,51,854,329,0,-3.4000000000000004,51,854,0,329,56.33,71,0.13,1019,0.5,333,2,16.6907,12.9083
2014,1,2,16,30,2.1,35,663,143,0,-2.4000000000000004,35,663,0,143,71.99,80.68,0.13,1019,0.5,330,1.3,0.0000,0.0000
2014,1,2,17,30,0.30000000000000004,0,0,0,0,-2.2,0,0,0,0,83.51,91.69,0.13,1019,0.5,328,1,0.0000,0.0000
2014,1,2,18,30,-0.8,0,0,0,0,-2.9000000000000004,0,0,0,0,85.94,103.38,0.13,1020,0.5,336,1,0.0000,0.0000
2014,1,2,19,30,-1.4000000000000001,0,0,0,0,-3.4000000000000004,0,0,0,0,86.31,115.57000000000001,0.13,1020,0.5,345,1,0.0000,0.0000
2014,1,2,20,30,-2,0,0,0,0,-3.8000000000000003,0,0,0,0,87.18,128.08,0.13,1021,0.5,354,1,0.0000,0.0000
2014,1,2,21,30,-2.6,0,0,0,0,-4.3,0,0,0,0,88.3,140.72,0.13,1021,0.5,183,1,0.0000,0.0000
2014,1,2,22,30,-3.1,0,0,0,0,-4.6000000000000005,0,0,0,0,89.38,153.23,0.13,1021,0.5,11,1,0.0000,0.0000
2014,1,2,23,30,-3.5,0,0,0,0,-4.800000000000001,0,0,0,0,90.81,164.79,0.13,1021,0.5,20,0.9,0.0000,0.0000
2014,1,3,0,30,-3.7,0,0,0,0,-4.9,0,0,0,0,91.47,170.26,0.13,1021,0.5,28,0.9,0.0000,0.0000
2014,1,3,1,30,-3.9000000000000004,0,0,0,0,-5,0,0,0,0,92.34,162.41,0.13,1021,0.5,37,0.9,0.0000,0.0000
