Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,747991,-,-,-,32.45,-94.74,-6,88,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2006,1,1,0,30,10.9,0,0,0,0,10.9,0,0,0,0,100,170.41,0.14,997,1.6,186,1.7000000000000002,0.0000,0.0000
2006,1,1,1,30,11.100000000000001,0,0,0,1,11.100000000000001,0,0,0,0,100,162.35,0.14,997,1.7000000000000002,188,1.8,0.0000,0.0000
2006,1,1,2,30,11.600000000000001,0,0,0,1,11.600000000000001,0,0,0,0,100,150.37,0.14,997,1.8,188,1.9000000000000001,0.0000,0.0000
2006,1,1,3,30,12.600000000000001,0,0,0,1,12.600000000000001,0,0,0,0,100,137.78,0.14,997,1.9000000000000001,190,2.1,0.0000,0.0000
2006,1,1,4,30,13.600000000000001,0,0,0,1,13.600000000000001,0,0,0,0,100,125.15,0.14,997,1.9000000000000001,192,2.4000000000000004,0.0000,0.0000
2006,1,1,5,30,14.5,0,0,0,1,14.4,0,0,0,0,99.67,112.71000000000001,0.14,997,1.9000000000000001,196,2.6,0.0000,0.0000
2006,1,1,6,30,15.200000000000001,0,0,0,3,15.200000000000001,0,0,0,0,99.7,100.62,0.14,997,2,199,2.8000000000000003,0.0000,0.0000
2006,1,1,7,30,16.3,12,73,14,3,15.700000000000001,4,0,7,4,96.08,88.74,0.14,997,2,199,3.1,0.0000,0.0000
2006,1,1,8,30,18.400000000000002,54,538,163,3,16.1,75,175,0,111,86.62,78.36,0.14,997,2.1,198,3.6,5.3037,4.0511
2006,1,1,9,30,20.6,72,737,336,0,16.6,72,737,0,336,77.97,69.02,0.14,997,2.1,200,4.2,17.3505,13.4520
2006,1,1,10,30,22.6,77,833,474,2,16.400000000000002,197,46,0,219,68.2,61.58,0.14,996,2.2,203,4.5,11.9581,9.3309
2006,1,1,11,30,24.200000000000003,78,881,560,8,15.8,204,458,0,454,59.32,56.81,0.14,994,2.3000000000000003,204,4.4,25.4679,19.9231
2006,1,1,12,30,25.3,77,894,584,8,15,195,519,0,489,52.9,55.43,0.14,993,2.4000000000000004,206,4.3,27.6167,21.6167
2006,1,1,13,30,25.8,74,877,543,7,14.200000000000001,225,47,0,250,48.800000000000004,57.68,0.14,992,2.5,207,4.2,13.9615,10.9175
2006,1,1,14,30,25.700000000000003,68,836,446,8,13.700000000000001,183,319,0,326,47.49,63.17,0.14,992,2.4000000000000004,205,4,17.6158,13.7310
2006,1,1,15,30,24.8,58,745,299,8,13.5,128,47,0,143,49.550000000000004,71.15,0.14,992,2.4000000000000004,200,3.5,7.2446,5.6017
2006,1,1,16,30,23,39,540,125,8,13.8,59,79,0,72,56.34,80.84,0.14,992,2.3000000000000003,194,3.1,0.0000,0.0000
2006,1,1,17,30,22,0,0,0,7,14.3,0,0,0,0,61.49,91.84,0.14,992,2.2,193,3,0.0000,0.0000
2006,1,1,18,30,20.8,0,0,0,7,14.600000000000001,0,0,0,0,67.85,103.52,0.14,992,1.9000000000000001,199,3.2,0.0000,0.0000
2006,1,1,19,30,20.200000000000003,0,0,0,7,14.9,0,0,0,0,71.71000000000001,115.71000000000001,0.14,993,1.7000000000000002,204,3.3000000000000003,0.0000,0.0000
