TimeStamp,Power(MW),Temperature,Clearsky DHI,Clearsky DNI,Relative Humidity(w/m2),Solar Zenith Angle(w/m2),Global Horizontal UV Irradiance (295-385nm)(m/s)
2006-01-31,4.451344086021505,11.269220430107529,27.497311827956988,316.59005376344084,67.8734811827957,104.30362903225806,5.460946102150538
2006-02-28,3.7967261904761904,8.222916666666666,37.94642857142857,332.76636904761904,78.53619047619047,98.90331845238094,5.85848318452381
2006-03-31,5.174865591397849,14.905645161290325,51.369623655913976,340.0793010752688,78.55009408602152,91.11268817204301,7.720799596774194
2006-04-30,6.322638888888889,20.59861111111111,66.6125,350.525,78.21548611111112,82.90044444444445,11.07648125
2006-05-31,6.65497311827957,23.75994623655914,68.61155913978494,373.26747311827955,70.80591397849462,76.69581989247312,12.538202688172044
2006-06-30,6.569999999999999,28.04319444444445,71.8861111111111,375.12916666666666,59.24225,73.98429166666666,13.75499888888889
2006-07-31,6.401344086021506,29.883467741935483,76.4475806451613,346.2903225806452,62.54383064516129,75.3074059139785,13.109554032258064
2006-08-31,6.44744623655914,30.693145161290325,69.11827956989248,335.56586021505376,61.38926075268817,80.46802419354839,12.70327755376344
2006-09-30,5.789305555555556,25.066944444444445,54.775,338.1902777777778,59.97793055555556,88.0976111111111,9.940218611111112
2006-10-31,4.791263440860215,19.383870967741935,36.91935483870968,336.91129032258067,68.65990591397849,96.32881720430107,7.718845833333333
2006-11-30,4.190138888888889,12.832222222222223,30.91111111111111,310.97777777777776,79.97286111111111,102.93230555555554,5.689845972222222
2006-12-31,3.614784946236559,8.90524193548387,25.706989247311828,305.366935483871,79.7772311827957,105.89194892473118,4.2750669354838715
2007-01-31,2.885215053763441,5.133333333333334,28.608870967741936,308.0268817204301,86.45900537634408,104.3318817204301,4.218371370967742
2007-02-28,4.2629464285714285,8.317559523809525,37.11904761904762,336.1607142857143,82.92805059523809,98.95962797619048,6.160609672619048
2007-03-31,5.59758064516129,16.297446236559143,45.943548387096776,353.8817204301075,81.42431451612903,91.17971774193549,8.44983373655914
2007-04-30,6.356944444444444,16.434305555555557,64.6138888888889,359.30555555555554,76.96669444444446,82.95920833333334,10.234912222222222
2007-05-31,6.222177419354839,22.387096774193548,80.61962365591398,339.01478494623655,84.0699059139785,76.73215053763441,10.301754838709678
2007-06-30,6.506805555555555,25.88416666666667,80.37361111111112,346.7027777777778,84.35841666666667,73.9901111111111,11.39254986111111
2007-07-31,6.240725806451613,25.675,76.59677419354838,342.76612903225805,87.72827956989248,75.28064516129032,10.849072715053763
2007-08-31,6.460483870967742,28.448118279569893,70.81989247311827,332.2809139784946,78.90352150537635,80.41564516129031,12.463245698924732
2007-09-30,5.620138888888889,25.44472222222222,57.00833333333333,325.0625,77.78729166666666,88.03172222222223,9.80636125
2007-10-31,5.309274193548387,20.502822580645162,34.58467741935484,342.4153225806452,69.92809139784946,96.26717741935484,8.315702284946235
2007-11-30,3.7859722222222225,14.45125,35.208333333333336,288.69305555555553,74.24395833333334,102.89212500000001,5.370193333333334
2007-12-31,3.476747311827957,9.858736559139786,26.31451612903226,301.13844086021504,79.58635752688173,105.88548387096775,4.398572311827957
2008-01-31,3.6211021505376344,6.471102150537634,27.688172043010752,315.46370967741933,78.3981317204301,104.3621505376344,4.515265053763441
2008-02-29,4.851339285714285,10.654017857142858,34.46279761904762,343.60267857142856,78.95940476190476,99.01529761904762,6.64658244047619
2008-03-31,5.718145161290323,13.94462365591398,52.365591397849464,341.68413978494624,81.68119623655913,90.96583333333334,8.49245376344086
2008-04-30,6.484305555555555,17.48638888888889,68.48472222222222,349.6222222222222,78.97648611111111,82.77165277777779,10.224672499999999
2008-05-31,6.738844086021505,22.571370967741938,78.68145161290323,349.9247311827957,78.89654569892473,76.6175806451613,11.434872849462367
2008-06-30,7.03375,28.051250000000003,70.49583333333334,374.28194444444443,69.00847222222222,73.97336111111112,13.128019027777777
2008-07-31,6.927956989247312,30.047580645161293,72.23655913978494,357.1948924731183,58.84982526881721,75.36458333333333,14.263154838709678
2008-08-31,6.173655913978495,28.086290322580645,76.89516129032258,317.2768817204301,74.28833333333334,80.58072580645161,10.619928494623656
2008-09-30,5.799305555555556,23.31263888888889,54.6,337.1222222222222,77.6552638888889,88.23844444444444,9.519118333333333
2008-10-31,5.427956989247312,18.47043010752688,35.1505376344086,342.4166666666667,69.74694892473119,96.46055107526881,8.75422123655914
2008-11-30,4.127638888888889,12.788611111111111,30.35972222222222,309.575,73.79740277777778,103.016125,5.705570972222222
2008-12-31,3.165725806451613,8.467876344086022,26.963709677419356,294.6209677419355,76.11125000000001,105.90489247311828,3.9183799731182796
2009-01-31,3.9094086021505374,7.175403225806452,28.40456989247312,313.7486559139785,75.68087365591398,104.26760752688173,5.1778655913978495
2009-02-28,5.0130952380952385,11.842113095238096,36.364583333333336,339.34375,74.13075892857144,98.83784226190475,6.58472619047619
2009-03-31,5.141801075268817,13.902822580645163,51.240591397849464,339.90994623655916,77.60297043010753,91.03557795698924,7.418244623655914
2009-04-30,6.589027777777778,16.91125,65.56666666666666,358.3833333333333,77.52755555555557,82.83190277777778,10.603274027777777
2009-05-31,6.635887096774194,22.651478494623657,76.77553763440861,352.5806451612903,80.96227150537635,76.65479838709678,11.18312688172043
2009-06-30,7.200555555555555,28.75027777777778,67.33472222222223,381.775,64.54870833333334,73.97929166666667,13.662813611111112
2009-07-31,6.755107526881721,29.82715053763441,80.41397849462365,337.80913978494624,63.65817204301075,75.33861559139785,12.362423387096774
